l = 782.
Q Cache of size 1000MB storing 782 rows.
SMO (2D) selected.
Iteration 1, WS = [1, 386], MinDeltaObj = -85.36474416961836, Gmax = 1, Gmin = -1, DeltaGradient = 2, 2D Update: i = 0 -> 85.36474416961836, j = 0 -> 85.36474416961836, #SV = 2 (#BSV = 0)
Iteration 91, WS = [240, 448], MinDeltaObj = -60.18642473215321, Gmax = 12.59580473169211, Gmin = 2.7948681807272404, DeltaGradient = 9.80093655096487, 2D Update: i = 0 -> 14.120709633531302, j = 0 -> 14.120709633531302, #SV = 168 (#BSV = 143)
Iteration 92, WS = [116, 135], MinDeltaObj = -113.15237767444533, Gmax = 10.913097493604445, Gmin = 3.750514001189421, DeltaGradient = 7.162583492415024, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 170 (#BSV = 145)
Iteration 93, WS = [53, 744], MinDeltaObj = -151.63125008283325, Gmax = 13.04146013584297, Gmin = 0.8641042491567887, DeltaGradient = 12.17735588668618, 2D Update: i = 0 -> 71.66741903768153, j = 0 -> 71.66741903768153, #SV = 172 (#BSV = 145)
Iteration 94, WS = [644, 281], MinDeltaObj = -157.60060875773615, Gmax = 15.089893206763325, Gmin = 3.785890876256367, DeltaGradient = 11.304002330506957, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 174 (#BSV = 147)
Iteration 95, WS = [229, 501], MinDeltaObj = -165.62753512303374, Gmax = 16.91771296663385, Gmin = 1.3060541497546474, DeltaGradient = 15.611658816879203, 2D Update: i = 0 -> 22.491280780449955, j = 0 -> 22.491280780449955, #SV = 176 (#BSV = 147)
Iteration 96, WS = [303, 501], MinDeltaObj = -177.28323711989088, Gmax = 12.48691314543045, Gmin = 6.78536292735131, DeltaGradient = 5.70155021807914, 2D Update: i = 0 -> 77.50871921955004, j = 22.491280780449955 -> 100, #SV = 177 (#BSV = 148)
Iteration 97, WS = [551, 619], MinDeltaObj = -60.10277075432342, Gmax = 13.121681211800734, Gmin = 1.1151101723018488, DeltaGradient = 12.006571039498885, 2D Update: i = 0 -> 10.375584395051533, j = 79.54045171871277 -> 89.9160361137643, #SV = 178 (#BSV = 148)
Iteration 98, WS = [242, 657], MinDeltaObj = -108.06814795338008, Gmax = 11.982340052846936, Gmin = 7.0009549278307395, DeltaGradient = 4.981385125016197, 2D Update: i = 17.43056844120906 -> 100, j = 0 -> 82.56943155879094, #SV = 179 (#BSV = 149)
Iteration 99, WS = [458, 449], MinDeltaObj = -261.7592840466781, Gmax = 14.556930311859869, Gmin = 3.7153521628582578, DeltaGradient = 10.841578149001611, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 181 (#BSV = 151)
Iteration 100, WS = [55, 146], MinDeltaObj = -129.80765395437075, Gmax = 15.290303148770848, Gmin = 4.8367997312022535, DeltaGradient = 10.453503417568594, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 183 (#BSV = 153)
Iteration 101, WS = [567, 669], MinDeltaObj = -148.36275878541244, Gmax = 16.54947949288088, Gmin = 2.9335245155013734, DeltaGradient = 13.615954977379507, 2D Update: i = 24.338910592321177 -> 49.837834894553616, j = 0 -> 25.49892430223244, #SV = 184 (#BSV = 153)
Iteration 102, WS = [303, 547], MinDeltaObj = -180.03322363038387, Gmax = 12.82794867830496, Gmin = 5.568988926521868, DeltaGradient = 7.258959751783092, 2D Update: i = 77.50871921955004 -> 100, j = 0 -> 22.491280780449955, #SV = 185 (#BSV = 154)
Iteration 103, WS = [775, 289], MinDeltaObj = -126.01007877324132, Gmax = 12.33368839920241, Gmin = 5.025263185832905, DeltaGradient = 7.308425213369505, 2D Update: i = 0 -> 33.14540890343913, j = 66.85459109656087 -> 100, #SV = 186 (#BSV = 155)
Iteration 104, WS = [139, 110], MinDeltaObj = -186.92836311206827, Gmax = 12.729523237487648, Gmin = 5.873751249764663, DeltaGradient = 6.855771987722985, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 188 (#BSV = 157)
